,0
0,Yadi bom Jan nirdosh rehexa vane aantarastriya ghosana garera vagwan mannu pariyo yadi bom Jan apparadi nai ho vane phasi dida hunxa
1,"asram leave K vannu paryo 
aafno manchhe Kata gayo K garyo 
thaa xaina 
k vaako Ho manchhe"
2,.
3,Yo ram vadur lai nago paera lat hanu parxa dharma ko nam ma kalang ho
4,"Yo sab Jhutho  Aarop Jasto Lag Chha , Dhian Garna Dinu PqrChha"
5,nmaskar
6,hoinh haamro ravi sir pni kun kun kt sanga hunxa bhanxn k sahi ho.
7,जय रबि सर  राम बाहादुर बम्जन भगवन नै हुन या होइनन राम्रो छन्बिन हुनु जरुरी छ सर
8,guru lai kasai le gali dinu paudaina aja samma manxe Harayko bhaya k herera baseko kinna chup chap baseko Nepal yo sab jhutta ho
9,Really I like it
10,Yesto papilai chahi kin guru bhannu paryo
11,Ke ko guru lado ko guru ho
12,Yo dai bhanaudo ama bhanaudo mc ha harule khadi muluk pryayo hola......
13,Dhongiiiiiiiiii  Baaaaaabaaaa
14,3 din pani pani nakhai  basssa mora ho aani sabai thaahunxa. Hahaaaaa hahaaaa.
15,Yo manche diplomatic answer didaixa. Rabi lai pani ghumayoooooooo.
16,Pahi le yo sodhnu paryo ki bepatta vayeka haru aashram ma theye ki thiyenan? Yo kura le ghati pakranu paryo.
17,एक दम राम्रो  रवि सर राम बहादुर बम्जन सग भेटेर कुरा गर्नु  होस्  छिटो
18,Rabi dai 1 sting operation ko khacho ho hajur ko sting operation plz guys sting operation khacho agree??
19,"YO mUgg budhaa vaya ta jangal ma gayar tapasya basthyoo holani 
Sala yo ta. Mahal banayar basxa yesalai xadnA hunna ravi sir.. 
Ani yO. Jatha mero gau sarlahi bat pani yestai kurale lakheteko ho sala"
20,रबि दाई यो राम बाहदुर बोम्जोम लाई आरोप नालागाउनुस दाई यो साब झुटो हो फासाको हो साब डालर खाय रा आरोप लगाको हुन आगो मा बास्नी १४ बर्षा को उमेर मा हिन्दा हिन्दा हाराउनु हुन्छ एस्तो गर्ना साक्नु हुन्ना गुरु लेय सार्खारलेय अस्को निडाय चाडोई गारुस १००० न्युज मा नाऔउस भानना छाहान छु अस्तो नाहोस
21,"Rabi g le greatet nelal ka co ordinater bhanam ya adhyakxa phanindra nepal g laai pani interview ma bolaunu paryo ani greater nepal ko maag laai ra scope laai agadi badhaunu paryo .nepal ko lagi euta raamro pahal garna khojeko deah premi phanindra nepal ko kura janta samakxa puryaunu jaruri jasto lagxa ra rabi g pani euta desh premi byaktut le pani euta singo nepal ko mudda ko kura ma acyion linu jaruri xa .janta ko hak adhikar ra crime laai solve garnu bho dherai aba desh ko hak adhikar ko lagi pani pahal garna paryo nepal 60 hajar barga bhumi india le chalbhog gareko xa aafnai ho bhani daabi pani garxa .k ho ta yesto kura .euta desh le paaune adhikar ko jagga na line ta sarkar le ,3 crore janta ko bhumi jun euta greater nepal ho ani k tyo sab shikarik kura na paaume ta nepal le .yesko nichod niskarsa dina paryo .aba yo desh kai lagi euta revoulution ko kura ho .manxe sanga haina ki euta desh sanga nai bhayeko anyay bahyeko kura ma nepal sarkar chup kina .kina gumeko jamin na khojeko ho"
22,बुज्नै गह्रो
23,Rabi sir! Hajur afaile Ram bahadur bamjan ko asramma janu vayara tyaha bata live dinu  vaya dherai ramro hune thiyo🙏Oh vuminanda devkota jee Rabi sirko qsn euta tapaiko answer arko tira thetqsn  ko answer dina saknu paryoni answer kina daya baya ghumaunu hunxa...????
24,Dhongi  ho yo rambhadur  bamjan
25,Tq
26,rabi dada namaste??
27,Rabiji aannaye kassiko nahos aru midiako aasa janatale gardai nan haru sitapailama 4 barsaki nabalikalai balatkar grdargarda samatyeka n.silwalko jethan kedar khadkalai!
28,xi xi xi Ravi sir yo pani Dhuki Atma Rahex fataha hawa Kura garx 🤨🤨 Bamjan lai mantri ko support x yesma kunai sakhai xena
29,Dai Hajur   Ko mail id send gairdanu dami X
30,95% jana tesko paxeee ma bolnii xan Yo Sap teskoo chala  hooo
31,"sir  khi garnu paryo  yeslai 
       yo kunai guru hoina 
     plz yestoo kura  haru moh herna sakdina"
32,"Suresh ale magar 2072 jeth tir ktm ko  gaushala piglasthan ko Advans manpower ma baideshik rojgar ko lagi bujhna ako jasto lagx foto herda..hai..,! Malai lagx khoji garda tyata record herne ho ki? Arop vanda tyata bujhau hai patrakar sathiharu"
33,good rabi sir
34,chitta bujdo samdesh dinu bhayo ravi sir...
35,uttam ji nata nirmala ko hatyara nai patta  lagaunu vo nata bomjon ko aashram bata harayeko aani haru ko pata lagaunu vo...tapai le retire line bela vayo
36,aba sabai jana jungle chirnu paryo ..kina 13 barsha school padnu paryo..2 barsha +2 kina padnu paryo...4 barsha bacelor kina padnu paryo..2 barsha kina master padnu paryo..6 barsha jungle pasyo vane gyan aafai aaye haldo rahecha..ajha gautam buddha ko vanda ni thulo gyan pauda rahecha..ki kaso
37,Good Ravi sir
38,"Rabi sir great
🙏🙏🙏"
39,Nepal ko pulish gu ho .....
40,यादी यी राम बहाहादुर बम्जन साचिनै भगवान  हो भने यी ३ जना कता हराय त उस्लाई त थाह हुनुपर्छ  नि होइन र मलाई त सङ्क लाग्छ
41,Yesta mujhi boka dhongi rame k lado ko guru?? Rabi  sir jasto banna sikehunxa dhongi deuta banna pardaina.
42,Guru is hire
43,aunne Jane lakhau cha vandai ma  tesai chodna paincha? ghumai ghumai  Kura garna paincha? kunai Halat ma budha hundai hoina bamjan
44,"Ravi dai yo yasari sattyata patta lagdain,yaslai jo jo baltkrit bhayaka paditharu r ram bahadur bamjan lai face to face garn mildain r?"
45,"Fee badi liney talai sindu......
Chorni"
46,"Yo ram bahadur......lai sidai ,xitai vetnu prax ravi sir
Yasko pol xito vanda xito kholnu prayo"
47,Daka haru ghus- khor
48,Yo chor press conference ma darayeko thiyo
49,"Yo, mani lama ani Kaman sing chor ho"
