,0
0,Sala tyo dhotilai jiban var ghau banai banai nun chuk lagayar tarpai rahanu parxa
1,Yo ktko nacked pic chahi kasari payo tah yo indianle. Kura bujhiyena
2,Ravi sir .You are always right.?
3,Yes rabi is hero
4,ani yo kt ko nango tasbir chai ka bata payexa
5,Great work
6,Rabi sir le gareko kame lai jati parsansa gare pani kame hunxa salam garxu Rabi sir
7,Our God Rabi sir. Great job Rabi Sir.  We always love and supporting you Rabi sir.
8,Ravi sir lai Salam xa
9,नमस्ते रवि दाई
10,Good job keep it up rabi sir 🇳🇵🇳🇵
11,Rabi vai nepali cheli ko lagi bhagwan ho
12,"Ravi dai, tapai lai salam xa You are a real hero."
13,Mr rabi lamichhane 👍❤️
14,Hats up to you rabi daju. Keep it up.
15,"Rabilamichane Dai
Nepalko San Man😘😘"
16,sai ho. ravi sir
17,सलाम छ सबि सर
18,Hami hjrko sath xou rabi sir
19,yo kun jail ma raicha Jana Mann lagyo traffic signal todera bhitra yesko ilaj garna Jana Mann lagyo......
20,"Da hami tapaiko support ma sadhai hun6au, tapai esari nai sidha kura gardai janus, pol kholdai janu"
21,wow wow wow राष्ट्रभक्त रवि दाजु
22,"Rabi lamichhane amd team , great work sir. Superhero haru movies ma matra dekhna painthyo , mahatma gandhi, gautam buddha ra anya mahan byaktitwa ko kaam haru kitaab ma matra padhna painthyo tara hami vagyamani rahechau hajur ko kaam dekhna paiyo. #salute"
23,Goood🇳🇵🇳🇵🇳🇵🇳🇵
24,U made me cry Ravi lamichaney.. Hats off... U deserve all respect
25,100% nepali janta chahanxan balatkari ra vrastachari lai fasi...khai ta jantako pratinidhi ahrule tyo kanoon paas gareko? Salute u sir!!
26,Congratulations Rabi sir
27,Wowowoowo wowoow wowow I really really salute you Rabi dai
28,good sir very good
29,Well done sir go ahead never give up we are with you always
30,ho hunuparxa
31,Salaaaaaaa dhotii
32,aajha yesta haru lai sajay dinu parx
33,"Salute sir , keep it up ."
34,Rabi  daju  sahi  kura  plz  hajur ko  no dinus
35,Rabi  daju hajur ko satha ma hami xau
36,"Yeah good job ravi sir 
Yei noi nepal ko kamjori ho ki kunoi case ma paila report tespaxi action  
Yeah ani aba nepal.ma yestoi hjurjasto hajarau ravi janminu parxa  aafoi lower aafoi police  bannuma kunoi galti hunna"
37,Yeha balatkaar garne professor matra hoina ankha chimlera mitho kura ma fasne ek dui paisa ma lov garne kt ko pani galti cha. 18 yrs ko kti ko tehi ho dimag testo suddo sanga palkera sutyo ani pachi suddo le atti gare pachi chai help magne. Teslai pani 2 jhapad hannu parne rabi sirle.
38,Sahi kura vannu vayo rabi sir
39,Very nice jobs rabi sir
40,Very good sir ji
41,Goliiii haan president lai
42,Great ravi dai
43,salam xa sir tapai la mahi jaya nepal
44,Salam xa sir 👏🖒hajurlai
45,rabi Lamichhane Is my best
46,Num dinuna
47,Namaste Sir kam thiyo mero nbr ma ph garnuna9806540964
48,सलाम छ रबि  सर  हजुर लाई    तपाईं  हाम्रो भगवान  हो  रबि  सर
49,hamro nepal ko Neta haru lai sabai lai rakher goli hanu parxa hau ani ramro hunx
