,0
0,सब सेटिङ्ममा हुन्छ अनि
1,अब धादिङमा पनि आउन परो अपिल सिर
2,sahi bhannu vo apil ji
3,Daro rid
4,Bro aaru thuma pune jaunaho
5,सर नमस्कार  नवलपरासी  मालपोत जानुहोला
6,You great man
7,bhadrapur ko napi ma aaunu jhapa ko aasto chor haru hunxa thukda ni chiitta bujdaina
8,Dang ko lamahi mah khulayamm xa yo bapar
9,Good job vai go hait 👏👏👏👏👏👏☝️
10,Apil Tripati is the great man
11,Dherae  ramro  hunu  hunxa tapae  apil sir  good job
12,Apil dae ab dekhi hajurle all Nepal vari yasto programs liyar hidnu paryo? ??
13,अपिल सर दर्शन नमस्ते हजुर
14,राम्रो काम गर्नुभएको छ अपिल सर
15,great job Apil jee. keep it up
16,good job sir
17,धेरै  राम्रो  काम   गर्नु  भाको छ   सर
18,Good job 👍
19,Subscribe https://www.youtube.com/channel/UC6Bhczas5m2nGzV4JOX8RgA
20,Tapai najanmada samma kati khayo hola ghoos
21,कसरी तारिफ गरु म अपिल रबि अनि भग्या सर जस्त नेपाली मन मुतु भको मन्छे को अपिल सर सला घुस खाने जति सबै को पर्दा फास गराइ दिनु परेओ So best of luck jay pali jay nepal
22,Varry good sir asti garnu parxa ae vasta Chari harulai
23,Naya karmacharye rakhnu parxa yesto tw vayena ghush khane karyalya
24,Good job bro
25,मालपोत अधिकृत देबेन्द्र थापा ले गल्तीलाइ सुधार्ने काम भोलि बैठक बसेर यो काम पुरा गर्छु भनेको राम्रो लाग्यो।र कर्मचारी लाई बोलयर declair गरेको राम्रो लाग्यो
26,Nice
27,Good
28,Jay gandaki midiya
29,vgood
30,यो रोक्नु पर्छ
31,Yo dislike garne jati sapai bhrastachari.. 😡😡
32,प्रत्येक मालपोत कार्यलयमा बिचौलियाहरुको बिगबिगी छ र सबै कर्मचारीले घुस खाएको हुन्छन् । बिना घुस कुनैपनी काम हुदैन यश विषयमा समन्धित निकायको ध्यानाकर्षण होस ।
33,The news is good but the way of presentation is so damn bad...its like youre trying to copy mr.Rabi lamichane but yo manchay ta reporter cum gunda jyada cha...this man needs to learn to speak more politely with normal people
34,I'm proud of you Aapil sir🙏
35,good job sir
36,Good job sir sadhai yestai kam garnu hola i hope you
37,Apil dai
38,nice bro you are looking as like a ravi sir ...bro I am impress ...keep it up..god bless you
39,अपिलको यो हिम्मतलाई चैँ सलोट गर्नै पर्छ ।
40,सलाम छ अपिल सर
41,अपिल तृपाटि जस्तै पत्रकार अरु पनि जन्मिनु पर्छ भन्ने जति याता है
42,पुर्ब तिर पनि आउनु पर्यो अपिल सर
43,Very very good apil sir
44,apil sir jasta aru sathiharu pani  estai kam gare  desma bhastachar rokine sambhawana dekhinx salute sir....apilji...........
45,Verry good job abil dai I proud u
46,सबै मालपोत कार्यालय मा घुसपैठ हुन्छ सर के गरने सर हाकिम देखी पिउन सम्म घुस लिन्छन् हो जब सम्म पैसा पाउदैन तब सम्म कोइ पनि सुन्नेवाला छैन सर ???????
47,अपिल सर मुरी मुरी धन्यवाद।
48,Haamro Dhading ko malpot karya laya mata yasto khusya chhaina ahile samma ma kati choti gaisake kasaile testo garenan anta ta babal chalirachha ghusya chor haru
49,I respect you Apil Sir
